license_no,dba_name,aka_name,facility_type,risk_level,address,city,state,zip,latitude,longitude,ward
1,HARVEST CRUSADES MINISTRIES,,Special Event,2,118 N CENTRAL AVE ,CHICAGO,IL,60644,41.88284507,-87.76509545,29
2,COSI,,Restaurant,1,230 W MONROE ST ,CHICAGO,IL,60606,41.88075716,-87.6347093,42
9,XANDO COFFEE & BAR / COSI SANDWICH BAR,,Restaurant,1,116 S MICHIGAN AVE ,CHICAGO,IL,60603,41.88039584,-87.62450172,42
40,COSI,,Restaurant,1,233 N MICHIGAN AVE ,CHICAGO,IL,60601,41.88656737,-87.62438467,42
43,COSI,,,3,28 E JACKSON BLVD ,CHICAGO,IL,60604,41.87834161,-87.62667499,42
62,XANDO COFFEE & BAR / COSI SANDWICH BAR,,Restaurant,1,230 W WASHINGTON ST ,CHICAGO,IL,60606,41.88331786,-87.63476909,42
85,XANDO COFFEE & BAR / COSI SANDWICH BAR,,Restaurant,1,55 E GRAND AVE ,CHICAGO,IL,60611,41.89159074,-87.62586714,42
99,XANDO COFFEE & BAR / COSI SANDWICH BAR,COSI,Restaurant,1,203 N LA SALLE ST ,CHICAGO,IL,60601,41.88582205,-87.63230374,42
104,VITO & NICK'S LOUNGE,,,3,8433-8435 S PULASKI RD ,CHICAGO,IL,60652,41.73932941,-87.72143966,18
115,JOHN SCHALLER,,Restaurant,1,3714 S HALSTED ST ,CHICAGO,IL,60609,41.82718502,-87.64617046,11
139,KILDARE LIQUORS,,Restaurant,1,4300 W LAWRENCE AVE ,CHICAGO,IL,60630,41.96826704,-87.73549835,39
143,GEORGE BOZIC,,,3,1964 W LAWRENCE AVE ,CHICAGO,IL,60640,41.96887204,-87.67871953,47
146,JEAN SAMOCKI,,,3,2032 W ARMITAGE AVE ,CHICAGO,IL,60647,41.91784138,-87.67893683,32
147,Islands,,,3,3854-3856 N ASHLAND AVE ,CHICAGO,IL,60613,41.95225923,-87.66914435,47
149,FOX'S BEVERLY PUB,,Restaurant,1,9956 S WESTERN AVE ,CHICAGO,IL,60643,41.71201213,-87.68193541,19
153,JEFFERY PUB,,TAVERN,3,7041 S JEFFERY BLVD ,CHICAGO,IL,60649,41.76681807,-87.57617083,5
158,BURWOOD TAP,,Restaurant,3,724 W WRIGHTWOOD AVE ,CHICAGO,IL,60614,41.92920519,-87.64752249,43
164,POTASH BROS. SUPERMARKET,,Grocery Store,1,1525 N CLARK ST ,CHICAGO,IL,60610,41.91011794,-87.63149089,2
207,RIVER SHANNON,,Restaurant,2,425 W ARMITAGE AVE ,CHICAGO,IL,60614,41.91819779,-87.63974737,43
215,KAREGIANES INC,,,3,7043 W GRAND AVE ,CHICAGO,IL,60707,41.92343297,-87.80248081,29
218,LAURIE'S REST & COCKTAIL LOUNG,,Restaurant,1,5153 N BROADWAY ,CHICAGO,IL,60640,41.97616536,-87.65971548,48
229,69TH ST. CERTIFIED,,,2,1906 W 69TH ST ,CHICAGO,IL,60636,41.76857752,-87.67151318,17
239,OLD TIMERS REST & LOUNGE,,Restaurant,1,75 E LAKE ST ,CHICAGO,IL,60601,41.88562425,-87.6252965,42
241,HOP HAUS ROGERS PARK,,Restaurant,1,7541-7545 N CLARK ST ,CHICAGO,IL,60626,42.01890351,-87.67595815,49
244,HAROLD HANSON,,,3,2613 W FULLERTON AVE ,CHICAGO,IL,60647,41.92474047,-87.69313235,1
246,C AND K LIQUOR INC,,Grocery Store,3,12034 S MICHIGAN AVE ,CHICAGO,IL,60628,41.67527375,-87.62057528,9
255,MARIE WUCZYNSKI'S RIPTIDE,,Liquor,3,1745 W ARMITAGE AVE ,CHICAGO,IL,60622,41.91775523,-87.67198816,32
257,GEJA'S CAFE,,Restaurant,1,340 W ARMITAGE AVE ,CHICAGO,IL,60614,41.91844534,-87.63800743,43
260,PARK MANOR LOUNGE,KING'S CHINESE/PARK MANOR LOUNGE,Restaurant,1,7109 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60619,41.76539462,-87.61511045,6
265,THE CLOSET,,Liquor,3,3325 N BROADWAY ,CHICAGO,IL,60657,41.94264743,-87.64433254,44
271,ROMA'S REST,,Restaurant,1,9273 S SOUTH CHICAGO AVE ,CHICAGO,IL,60617,41.72672309,-87.55094326,10
289,SANDERS LOUNGE,,,3,700 W 59TH ST ,CHICAGO,IL,60621,41.7871761,-87.64259902,20
313,O'NEIL'S BAR & GRILL,,,3,152 E ONTARIO ST ,CHICAGO,IL,60611,41.89345959,-87.62337424,42
316,LINCOLN TAVERN & RESTAURANT,,Restaurant,1,1858 W WABANSIA AVE ,CHICAGO,IL,60622,41.91245647,-87.67501226,32
319,LITTLE JOE'S CIRCLE LOUNGE INC,,Restaurant,2,1041 W TAYLOR ST ,CHICAGO,IL,60607,41.86937118,-87.65278082,25
340,ALGIER LOUNGE,,Restaurant,2,5436 W MONTROSE AVE ,CHICAGO,IL,60641,41.96063356,-87.76381678,38
349,KELLY'S PUB,,Restaurant,1,949 W WEBSTER AVE ,CHICAGO,IL,60614,41.92163662,-87.65300408,43
353,SKYWAY LANES,,Restaurant,2,9915 S TORRENCE AVE ,CHICAGO,IL,60617,41.71488534,-87.55962172,10
366,H & L LIQUORS INC.,,,3,4709 N DAMEN AVE ,CHICAGO,IL,60625,41.96720264,-87.67899488,47
368,RITZ INN,,,3,3839 N LINCOLN AVE ,CHICAGO,IL,60613,41.95159798,-87.67681051,47
373,ALBET INVESTMENTS LTD,,,3,7463-7465 S VINCENNES AVE ,CHICAGO,IL,60621,41.75823401,-87.63117099,6
376,ALBET INVESTMENTS,,,3,7465 S VINCENNES AVE ,CHICAGO,IL,60621,41.75818264,-87.63119556,6
383,MIKES LIQUORS,,,3,3135 W MONTROSE AVE ,CHICAGO,IL,60618,41.96108392,-87.70724121,33
404,CELTIC CROWN,,Restaurant,1,4301 N WESTERN AVE ,CHICAGO,IL,60618,41.95953928,-87.6884838,47
407,THE MID DAY CLUB,,,3,76 W MONROE ST ,CHICAGO,IL,60603,41.8808097,-87.63058092,42
410,CAMBRIDGE HOUSE RESTAURANT,,,3,167 E OHIO ST ,CHICAGO,IL,60611,41.89244892,-87.62276317,42
415,VITANGELO'S PIZZA & RESTAURANT,,Restaurant,1,3644 W FULLERTON AVE ,CHICAGO,IL,60647,41.92469108,-87.71882929,31
429,TONY'S ITALIAN DELI,,Grocery Store,1,6708 N NORTHWEST HWY ,CHICAGO,IL,60631,42.00289469,-87.81656422,41
440,JERUSALEM LIQUORS,,Grocery Store,3,3133-3135 W LAWRENCE AVE ,CHICAGO,IL,60625,41.9683547,-87.70739432,33
473,Kinetic Playground,,Liquor,3,1113 W LAWRENCE AVE ,CHICAGO,IL,60640,41.96893557,-87.65820072,46
481,PIZZA LOUNGE,,,3,2801 W CHICAGO AVE ,CHICAGO,IL,60622,41.89554371,-87.69676464,26
525,MARQ LOUNGE,,TAVERN,3,5065-5067 W MADISON ST ,CHICAGO,IL,60644,41.88029764,-87.75236472,28
526,DI'S DEN,,Restaurant,3,5100-5104 W IRVING PARK RD ,CHICAGO,IL,60641,41.95343829,-87.75475433,45
